"global_var_name","file","start_line","end_line"
"HPEXPIRE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3911,3911
"HPEXPIREAT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3952,3952
"HPEXPIRETIME_Keyspecs","/home/runner/work/redis/redis/src/commands.def",3993,3993
"HPTTL_Tips","/home/runner/work/redis/redis/src/commands.def",4019,4019
"HPTTL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4026,4026
"HRANDFIELD_Tips","/home/runner/work/redis/redis/src/commands.def",4052,4052
"HRANDFIELD_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4059,4059
"HSCAN_Tips","/home/runner/work/redis/redis/src/commands.def",4085,4085
"HSCAN_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4092,4092
"HSET_History","/home/runner/work/redis/redis/src/commands.def",4110,4110
"HSET_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4122,4122
"HSETEX_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4153,4153
"HSETNX_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4207,4207
"HSTRLEN_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4233,4233
"HTTL_Tips","/home/runner/work/redis/redis/src/commands.def",4253,4253
"HTTL_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4260,4260
"HVALS_Tips","/home/runner/work/redis/redis/src/commands.def",4286,4286
"HVALS_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4293,4293
"PFADD_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4317,4317
"PFCOUNT_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4342,4342
"PFDEBUG_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4366,4366
"PFMERGE_Keyspecs","/home/runner/work/redis/redis/src/commands.def",4391,4391
